epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.52704,1.76626,2.82856,1.78172,0.00506,0.88889,0.24286,0.10368,1.72087,3.42658,1.77757,0.00038,0.00038,0.00038
2,5.67671,1.69493,2.19006,1.61979,0.89643,0.1283,0.35253,0.16952,1.84483,3.39661,1.96697,0.000772278,0.000772278,0.000772278
3,7.81172,1.68782,2.05772,1.62513,0.36148,0.26667,0.19534,0.09075,1.86476,3.17999,2.06417,0.00115664,0.00115664,0.00115664
4,9.83303,1.72009,2.07466,1.65301,0.37493,0.26667,0.21345,0.09231,2.07259,2.69271,2.11586,0.00153307,0.00153307,0.00153307
5,11.79,1.85043,2.07561,1.74258,0.49183,0.31111,0.33257,0.15459,2.02138,2.95712,2.11584,0.00190159,0.00190159,0.00190159
6,13.7928,1.72786,1.93734,1.65904,0.234,0.2963,0.21899,0.09842,2.37448,2.7381,2.30295,0.001901,0.001901,0.001901
7,15.7552,1.76393,1.8147,1.68739,0.41491,0.3362,0.31425,0.13936,2.08091,2.65691,2.09568,0.0018812,0.0018812,0.0018812
8,17.6743,1.75217,1.80768,1.67759,0.31444,0.31111,0.23601,0.11435,2.08391,3.24785,1.99364,0.0018614,0.0018614,0.0018614
9,19.5713,1.68747,1.68572,1.58347,0.45914,0.28889,0.2662,0.10762,2.27225,2.73516,2.06617,0.0018416,0.0018416,0.0018416
10,21.6461,1.65243,1.61909,1.55961,0.46312,0.33333,0.31885,0.14264,1.96671,4.08097,1.97706,0.0018218,0.0018218,0.0018218
11,23.5918,1.63382,1.60177,1.58771,0.44623,0.34074,0.37307,0.19405,1.89813,2.61508,1.81495,0.001802,0.001802,0.001802
12,25.5003,1.65488,1.57447,1.56577,0.51093,0.5037,0.50624,0.26141,1.83752,3.35038,1.82653,0.0017822,0.0017822,0.0017822
13,27.4042,1.63257,1.52098,1.57046,0.51398,0.42963,0.42502,0.20349,2.06386,2.38763,1.97488,0.0017624,0.0017624,0.0017624
14,29.2837,1.65769,1.49873,1.55905,0.35856,0.33333,0.28705,0.12049,2.38089,2.48135,2.2013,0.0017426,0.0017426,0.0017426
15,31.1916,1.61995,1.39982,1.52202,0.48087,0.51111,0.51783,0.26037,1.83258,1.75155,1.78276,0.0017228,0.0017228,0.0017228
16,33.1184,1.60154,1.45581,1.55945,0.52752,0.44444,0.47435,0.24952,1.84286,1.85231,1.75151,0.001703,0.001703,0.001703
17,35.0438,1.64042,1.41148,1.53994,0.62381,0.4,0.51339,0.24043,1.87601,1.97785,1.79508,0.0016832,0.0016832,0.0016832
18,36.9826,1.6068,1.36261,1.53832,0.48184,0.5037,0.4488,0.21084,1.88904,1.87406,1.80255,0.0016634,0.0016634,0.0016634
19,38.99,1.53365,1.32826,1.48272,0.55185,0.46667,0.5144,0.29623,1.74846,1.72917,1.73176,0.0016436,0.0016436,0.0016436
20,40.9365,1.58037,1.30252,1.49358,0.63647,0.51852,0.55347,0.28455,1.83038,1.66883,1.74753,0.0016238,0.0016238,0.0016238
21,42.8395,1.59911,1.31774,1.49907,0.63757,0.48215,0.53962,0.29358,1.73141,1.63155,1.66397,0.001604,0.001604,0.001604
22,44.7957,1.51245,1.2575,1.47112,0.50225,0.56296,0.5261,0.2834,1.80646,1.70702,1.82502,0.0015842,0.0015842,0.0015842
23,46.6956,1.50236,1.19577,1.46834,0.66921,0.47407,0.53443,0.28435,1.84878,1.92217,1.8582,0.0015644,0.0015644,0.0015644
